,Episode,Review
0,Chapter 1,8.601234567891
1,Chapter 2,8.501234567891
2,Chapter 3,8.301234567891
3,Chapter 4,8.201234567891
4,Chapter 5,8.401234567891
5,Chapter 6,8.501234567891
6,Chapter 7,8.101234567891
7,Chapter 8,7.701234567891
8,Chapter 9,8.501234567891
9,Chapter 10,8.701234567891
10,Chapter 11,9.001234567891
11,Chapter 12,8.501234567891
12,Chapter 13,8.801234567891
13,Chapter 14,9.501234567891
14,Chapter 15,8.301234567891
15,Chapter 16,8.401234567891
16,Chapter 17,9.001234567891
17,Chapter 18,8.301234567891
18,Chapter 19,8.301234567891
19,Chapter 20,8.401234567891
20,Chapter 21,8.501234567891
21,Chapter 22,8.901234567891
22,Chapter 23,8.301234567891
23,Chapter 24,8.701234567891
24,Chapter 25,8.801234567891
25,Chapter 26,9.501234567891
